emp_no,title,birth_date,first_name,last_name,to_date
58280,Senior Engineer,1954-07-30,Manohar,Peris,9999-01-01
58292,Staff,1954-07-28,Patricio,Codenie,9999-01-01
58300,Senior Staff,1955-01-25,Frazer,Picco,9999-01-01
58301,Senior Staff,1953-03-22,Gift,Lindqvist,9999-01-01
58304,Senior Engineer,1954-09-08,Mabo,Grospietsch,9999-01-01
58308,Senior Engineer,1953-01-04,Valter,Maliniak,9999-01-01
58312,Senior Staff,1955-03-30,Fumiya,Terwilliger,9999-01-01
58317,Engineer,1954-02-28,Eric,Kenevan,9999-01-01
58318,Senior Staff,1955-08-27,Supot,Chinal,9999-01-01
58320,Senior Engineer,1952-08-26,Satosi,Madeira,9999-01-01
58321,Staff,1952-09-28,Djelloul,Hopewell,9999-01-01
58325,Senior Engineer,1953-12-26,Kokou,Riexinger,9999-01-01
58327,Staff,1955-11-02,Zhiwei,Tischendorf,9999-01-01
58332,Senior Engineer,1952-08-15,Dines,Bierbaum,9999-01-01
58334,Staff,1953-11-08,Wojceich,Heydon,9999-01-01
58335,Senior Staff,1955-03-15,Chenye,Brodie,9999-01-01
58336,Engineer,1952-07-16,Lucian,Jeong,9999-01-01
58342,Senior Staff,1954-02-16,Serenella,Muniz,9999-01-01
58343,Senior Staff,1954-05-06,Moto,Vidal,9999-01-01
58346,Senior Staff,1954-08-07,Ibibia,Lambe,9999-01-01
58349,Staff,1955-11-30,Morris,Ouhyoung,9999-01-01
58352,Senior Engineer,1955-03-06,Soenke,Hatcliff,9999-01-01
58353,Staff,1955-11-30,Shen,Brizzi,9999-01-01
58357,Senior Engineer,1952-11-07,Djenana,Vecchi,9999-01-01
58362,Staff,1952-09-01,Raimond,Randi,9999-01-01
58363,Senior Staff,1953-03-05,Jaideep,Caine,9999-01-01
58366,Senior Engineer,1955-01-17,Akeel,Schnabel,9999-01-01
58369,Senior Staff,1954-03-27,Jiann,Schiper,9999-01-01
58371,Senior Staff,1954-07-14,Vugranam,Msuda,9999-01-01
58372,Senior Engineer,1955-05-31,Jingling,Kawashima,9999-01-01
58376,Staff,1954-09-19,Marsja,Diderrich,9999-01-01
58377,Senior Staff,1952-05-20,Goo,Panienski,9999-01-01
58378,Engineer,1954-10-31,Bilhanan,Gruenwald,9999-01-01
58381,Senior Staff,1954-02-27,JoAnna,Gustavson,9999-01-01
58387,Senior Engineer,1952-03-29,Shaz,Thebaut,9999-01-01
58388,Senior Engineer,1954-07-27,Aemilian,Parveen,9999-01-01
58391,Senior Staff,1955-07-25,Ayonca,Gyimothy,9999-01-01
58392,Engineer,1953-12-18,Youpyo,VanScheik,9999-01-01
58395,Technique Leader,1952-03-26,Hisao,Apsitis,9999-01-01
58396,Senior Staff,1955-10-01,Kenton,Billawala,9999-01-01
58401,Staff,1953-07-04,Jiang,Garrabrants,9999-01-01
58409,Senior Engineer,1954-10-31,Mara,Fordan,9999-01-01
58410,Senior Staff,1952-07-06,Samphel,Bennis,9999-01-01
58412,Staff,1952-12-10,Mabry,Sidje,9999-01-01
58414,Senior Staff,1954-10-18,Shih,Schrift,9999-01-01
58417,Senior Staff,1955-03-08,Garnet,Bouloucos,9999-01-01
58423,Staff,1954-07-19,Wuxu,Badr,9999-01-01
58425,Engineer,1954-08-27,Foong,Calkin,9999-01-01
58426,Staff,1955-09-02,Seongbae,Cools,9999-01-01
58427,Senior Staff,1952-07-05,Guozhong,Frezza,9999-01-01
58434,Engineer,1954-09-07,Aluzio,Melton,9999-01-01
58437,Senior Staff,1955-11-16,Maya,Rusterholz,9999-01-01
58443,Senior Staff,1954-03-19,Stein,Heping,9999-01-01
58446,Senior Staff,1955-08-03,Xiaoqiang,Reghbati,9999-01-01
58455,Senior Engineer,1954-01-19,Miomir,Vidya,9999-01-01
58457,Technique Leader,1952-07-13,Yuping,Delaune,9999-01-01
58458,Senior Staff,1955-04-13,Turgut,Koshiba,9999-01-01
58460,Senior Staff,1955-06-23,Mart,Wixon,9999-01-01
58462,Senior Staff,1952-05-16,Ronnie,Paciorek,9999-01-01
58464,Senior Engineer,1954-12-18,Mara,Maliniak,9999-01-01
58468,Senior Staff,1953-07-25,Lucian,Limongiello,9999-01-01
58475,Senior Engineer,1955-11-23,Angel,Chaudhury,9999-01-01
58483,Technique Leader,1953-05-16,Zine,Plotkin,9999-01-01
58485,Senior Staff,1955-03-23,Genki,Raney,9999-01-01
58490,Senior Staff,1953-04-29,Toshiko,Navazio,9999-01-01
58499,Senior Engineer,1955-08-22,Marjo,Pileggi,9999-01-01
58500,Engineer,1952-08-31,Gad,Gargeya,9999-01-01
58503,Engineer,1954-02-25,Vitali,Limongiello,9999-01-01
58508,Engineer,1954-08-11,Vasilis,Ravishankar,9999-01-01
58509,Senior Staff,1953-01-04,Anneli,Laurillard,9999-01-01
58511,Engineer,1955-09-03,Udaiprakash,Setlzner,9999-01-01
58515,Senior Staff,1952-03-12,Radhia,Hertweck,9999-01-01
58516,Senior Staff,1954-01-12,Xianlong,Knightly,9999-01-01
58517,Staff,1955-04-05,Zita,Stentiford,9999-01-01
58518,Senior Engineer,1955-06-11,Along,Perfilyeva,9999-01-01
58523,Senior Engineer,1952-03-08,Prasadram,Bazelow,9999-01-01
58524,Senior Engineer,1954-01-08,Jaideep,Sidhu,9999-01-01
58527,Assistant Engineer,1955-09-01,Feixiong,Daescu,9999-01-01
58534,Staff,1953-05-31,Beshir,Jayawardene,9999-01-01
58535,Senior Engineer,1952-08-01,Susanna,Gruenwald,9999-01-01
58536,Senior Engineer,1955-05-24,Tetsurou,Ullian,9999-01-01
58541,Staff,1954-10-08,Anneli,Pouyioutas,9999-01-01
58543,Senior Engineer,1953-07-11,Gully,Beausoleil,9999-01-01
58559,Engineer,1955-06-10,Moti,Lamparter,9999-01-01
58567,Senior Staff,1953-11-09,Eric,Scallan,9999-01-01
58569,Senior Staff,1955-12-04,Moriyoshi,Emiris,9999-01-01
58570,Senior Staff,1955-05-09,Suebskul,Blokdijk,9999-01-01
58575,Senior Engineer,1953-03-18,Pasqua,Pfau,9999-01-01
58576,Senior Engineer,1952-12-11,Xianlong,Fraisse,9999-01-01
58580,Senior Engineer,1953-10-01,Zhiguo,Lienhardt,9999-01-01
58586,Staff,1954-06-04,Guozhong,Zockler,9999-01-01
58587,Senior Engineer,1953-08-14,Zijian,Detkin,9999-01-01
58590,Senior Staff,1954-03-08,Jayson,Roisin,9999-01-01
58593,Senior Engineer,1955-03-31,Hatsukazu,Petersohn,9999-01-01
58594,Senior Engineer,1955-06-13,Arne,Schusler,9999-01-01
58602,Technique Leader,1955-12-03,Gen,Bahl,9999-01-01
58606,Senior Engineer,1955-07-11,Jiakeng,Zaumen,9999-01-01
58608,Senior Staff,1953-01-19,Jenwei,Khalid,9999-01-01
58609,Staff,1953-08-21,Behnaam,Mawatari,9999-01-01
58620,Senior Staff,1955-12-15,Toshimori,Rosenbaum,9999-01-01
58626,Senior Staff,1954-09-14,Moss,Reghbati,9999-01-01
58632,Engineer,1954-12-26,Kwangjo,Penn,9999-01-01
58635,Senior Engineer,1954-04-01,Giordano,Rabejac,9999-01-01
58636,Senior Staff,1953-05-31,Sandeepan,Chinal,9999-01-01
58637,Senior Engineer,1952-02-23,Mohamadou,Peck,9999-01-01
58640,Senior Engineer,1954-10-11,Noritoshi,Karcich,9999-01-01
58644,Senior Staff,1954-04-27,Atilio,Ermel,9999-01-01
58646,Senior Engineer,1952-03-14,Froduald,Goodrum,9999-01-01
58653,Senior Staff,1955-11-22,Gretta,Hedayat,9999-01-01
58657,Senior Engineer,1953-03-30,Pasqua,Kaltofen,9999-01-01
58659,Senior Staff,1952-04-14,Claude,Rosin,9999-01-01
58663,Senior Staff,1952-10-04,Owen,Coorg,9999-01-01
58665,Senior Staff,1952-10-25,Mabhin,Marquardt,9999-01-01
58666,Senior Staff,1952-04-08,Guangming,Schmezko,9999-01-01
58670,Senior Engineer,1952-07-04,Parto,Maccarone,9999-01-01
58672,Engineer,1954-07-16,Hatsukazu,Pavlopoulou,9999-01-01
58677,Senior Engineer,1952-04-18,Bowen,Madeira,9999-01-01
58678,Senior Engineer,1955-12-03,Vivian,Zwicker,9999-01-01
58682,Senior Staff,1953-12-19,Siamak,Flasterstein,9999-01-01
58684,Engineer,1952-07-02,Frederique,Denny,9999-01-01
58685,Senior Staff,1954-06-23,Yuping,Puppe,9999-01-01
58689,Senior Staff,1953-08-15,Zengping,Ushiama,9999-01-01
58691,Senior Staff,1954-05-25,Narain,England,9999-01-01
58694,Senior Staff,1952-07-03,Kasidit,Kragelund,9999-01-01
58696,Senior Staff,1954-08-03,Zsolt,Ruemmler,9999-01-01
58709,Senior Staff,1952-02-24,Mang,Szmurlo,9999-01-01
58710,Senior Staff,1954-11-26,Jessie,Lindenbaum,9999-01-01
58719,Senior Engineer,1954-12-27,Eishiro,Levergood,9999-01-01
58727,Senior Engineer,1955-06-27,Junichi,Rullman,9999-01-01
58728,Senior Engineer,1955-03-13,Boguslaw,Parfitt,9999-01-01
58735,Engineer,1954-01-16,Krassimir,Mayerwieser,9999-01-01
58736,Senior Engineer,1954-09-04,Cheong,Denny,9999-01-01
58743,Senior Staff,1954-01-16,Hitofumi,Stentiford,9999-01-01
58749,Engineer,1954-04-21,Sachem,Junet,9999-01-01
58755,Senior Staff,1954-02-14,Indrajit,Zedlitz,9999-01-01
58757,Senior Staff,1952-10-02,Aria,Dechter,9999-01-01
58767,Senior Staff,1953-05-23,Rildo,Barreiro,9999-01-01
58773,Engineer,1952-10-23,Geoffry,Yavatkar,9999-01-01
58779,Engineer,1955-10-07,Junichi,Eppinger,9999-01-01
58780,Senior Staff,1954-10-13,Adin,Katzenelson,9999-01-01
58781,Engineer,1955-07-30,Matt,Gischer,9999-01-01
58787,Engineer,1954-02-07,Kristina,Erie,9999-01-01
58788,Senior Engineer,1953-12-21,Shmuel,Anger,9999-01-01
58789,Senior Engineer,1955-02-22,Hercules,Cochrane,9999-01-01
58790,Senior Staff,1954-01-25,Peternela,Zockler,9999-01-01
58795,Senior Staff,1954-11-03,Magdalena,Tsukuda,9999-01-01
58797,Senior Staff,1952-06-26,Xiaoheng,Breugel,9999-01-01
58806,Senior Staff,1952-08-14,Shakhar,Naumovich,9999-01-01
58807,Senior Staff,1954-07-14,Murthy,Koshino,9999-01-01
58812,Senior Engineer,1952-10-16,Fumiyo,Keohane,9999-01-01
58814,Senior Staff,1954-07-19,Gurbir,Loncour,9999-01-01
58817,Engineer,1954-01-10,Xiaobin,Slutz,9999-01-01
58818,Senior Staff,1953-11-27,Tsvetan,Sidje,9999-01-01
58823,Senior Staff,1955-10-04,Feiyu,Pleszkun,9999-01-01
58824,Senior Engineer,1954-09-18,Claudi,Baalen,9999-01-01
58825,Senior Staff,1952-08-26,JoAnna,Swist,9999-01-01
58826,Senior Engineer,1952-08-16,Emdad,Peral,9999-01-01
58830,Senior Engineer,1952-12-04,Uzi,Cunliffe,9999-01-01
58832,Senior Staff,1953-01-29,Dinah,Szilard,9999-01-01
58835,Senior Engineer,1952-03-13,Van,Vigier,9999-01-01
58836,Senior Engineer,1953-03-07,Constantino,Rahimi,9999-01-01
58837,Senior Engineer,1954-12-31,Bowen,Waleschkowski,9999-01-01
58841,Senior Engineer,1955-01-07,Toshiko,Heuter,9999-01-01
58847,Senior Staff,1954-07-18,Jeanne,Mikschl,9999-01-01
58848,Senior Engineer,1955-06-25,Cathie,Cichocki,9999-01-01
58849,Senior Staff,1952-02-28,Takanari,Herath,9999-01-01
58855,Staff,1955-08-04,Lidong,Assaf,9999-01-01
58859,Senior Staff,1954-06-11,Holgard,Thombley,9999-01-01
58860,Technique Leader,1955-06-10,Xudong,Lindenbaum,9999-01-01
58862,Senior Engineer,1953-09-07,Alagu,Cannata,9999-01-01
58864,Senior Engineer,1954-01-30,Tonia,Plumb,9999-01-01
58869,Senior Engineer,1954-11-06,Nahid,Eugenio,9999-01-01
58876,Staff,1953-01-14,Zhenbing,Chinen,9999-01-01
58879,Senior Engineer,1953-03-16,Cathie,Ushiama,9999-01-01
58891,Senior Staff,1955-12-28,Make,Munawer,9999-01-01
58892,Senior Staff,1955-10-15,Masami,Cyne,9999-01-01
58897,Senior Staff,1953-08-26,Kirk,Suermann,9999-01-01
58901,Engineer,1953-04-27,Sreenivas,Potthoff,9999-01-01
58904,Senior Staff,1955-07-17,Moti,Validov,9999-01-01
58909,Staff,1952-12-31,Halsur,Serov,9999-01-01
58913,Technique Leader,1954-01-11,Shahaf,Slaats,9999-01-01
58914,Engineer,1954-07-08,Aemilian,Passino,9999-01-01
58932,Senior Staff,1954-02-21,Horward,Seuren,9999-01-01
58934,Senior Engineer,1954-04-11,Bouchung,Hardjono,9999-01-01
58943,Senior Staff,1954-01-20,Alejandra,Luks,9999-01-01
58949,Engineer,1955-04-03,Sanjai,Billingsley,9999-01-01
58950,Senior Engineer,1955-12-03,Remzi,Bernardeschi,9999-01-01
58957,Senior Staff,1954-11-03,Feiyu,Luft,9999-01-01
58959,Senior Staff,1952-05-22,Younwoo,Gecseg,9999-01-01
58970,Senior Engineer,1954-07-17,Yongmin,Waterhouse,9999-01-01
58973,Senior Engineer,1955-08-24,Marke,Decleir,9999-01-01
58974,Senior Staff,1954-11-06,Wonhee,Ravishankar,9999-01-01
58981,Senior Staff,1952-04-11,Kazuhiko,Kushner,9999-01-01
58991,Staff,1952-02-12,Annemarie,Schaap,9999-01-01
58996,Senior Engineer,1952-08-25,Sven,Dengi,9999-01-01
59000,Senior Staff,1955-10-31,Yuriy,Barvinok,9999-01-01
59002,Senior Engineer,1954-09-14,Alselm,Maraist,9999-01-01
59005,Staff,1955-09-27,Juyoung,Conde,9999-01-01
59007,Senior Engineer,1952-03-11,Patricio,Hiltgen,9999-01-01
59011,Senior Engineer,1952-07-13,Jouni,Flowers,9999-01-01
59016,Senior Engineer,1954-02-18,Terresa,Kornyak,9999-01-01
59017,Senior Engineer,1954-10-03,Akhilish,Pews,9999-01-01
59018,Senior Staff,1952-12-25,Marsal,Liesche,9999-01-01
59020,Senior Engineer,1955-06-25,Kazunori,Reeker,9999-01-01
59023,Staff,1952-04-14,Hatsukazu,Pashtan,9999-01-01
59024,Staff,1955-02-26,Fumiyo,Benaini,9999-01-01
59025,Engineer,1953-12-31,Oddvar,Demir,9999-01-01
59029,Senior Staff,1954-11-24,Krassimir,Cmelik,9999-01-01
59032,Senior Engineer,1952-07-21,Uinam,Pusterhofer,9999-01-01
59043,Staff,1952-09-17,Berry,Preusig,9999-01-01
59047,Senior Engineer,1954-05-05,Jiong,Botman,9999-01-01
59060,Senior Staff,1954-06-19,Pohua,Jakobus,9999-01-01
59061,Senior Staff,1953-12-31,Shalesh,Lyonns,9999-01-01
59066,Staff,1955-04-29,Abdulla,Mitina,9999-01-01
59068,Engineer,1952-08-12,Weiyi,Erva,9999-01-01
59072,Senior Engineer,1954-01-02,Sadok,Sigstam,9999-01-01
59073,Senior Staff,1953-12-11,Roded,Zockler,9999-01-01
59078,Senior Engineer,1952-11-15,Licheng,Larfeldt,9999-01-01
59087,Senior Staff,1955-05-20,Shakhar,Erdmenger,9999-01-01
59089,Senior Engineer,1955-07-19,Ramya,Zirintsis,9999-01-01
59090,Senior Staff,1953-10-27,Yuguang,Frezza,9999-01-01
59093,Staff,1953-05-15,Sanjoy,Impagliazzo,9999-01-01
59094,Senior Engineer,1952-09-04,Adin,McDermid,9999-01-01
59096,Staff,1955-03-05,Alexius,Leivant,9999-01-01
59099,Engineer,1953-01-10,Howell,Shimshoni,9999-01-01
59107,Senior Engineer,1952-07-31,Anneke,Constantine,9999-01-01
59109,Senior Engineer,1954-03-03,Tesuya,Morrey,9999-01-01
59113,Senior Staff,1955-02-08,Lillian,Debuse,9999-01-01
59114,Staff,1953-05-18,Xumin,Vieri,9999-01-01
59118,Staff,1955-10-30,Margo,Back,9999-01-01
59121,Senior Staff,1955-02-16,Quingbo,Trumbly,9999-01-01
59123,Senior Staff,1953-12-30,Margareta,Magalhaes,9999-01-01
59125,Senior Engineer,1953-12-08,Hyuckchul,Menhardt,9999-01-01
59128,Senior Engineer,1952-05-23,Jianwen,Lorho,9999-01-01
59130,Engineer,1952-03-12,Mingsen,Baja,9999-01-01
59134,Engineer,1953-10-16,Atreyi,Salvesen,9999-01-01
59142,Senior Engineer,1954-02-21,Murthy,Haraldson,9999-01-01
59143,Senior Staff,1952-06-25,Taegyun,Demir,9999-01-01
59145,Senior Engineer,1953-06-15,Tzu,Birch,9999-01-01
59155,Engineer,1954-12-06,Larisa,Crooks,9999-01-01
59161,Senior Staff,1953-08-18,Martijn,Goodrum,9999-01-01
59166,Senior Engineer,1953-09-14,Charlene,Bernardinello,9999-01-01
59176,Senior Staff,1952-12-15,Teiji,Suessmith,9999-01-01
59183,Senior Engineer,1952-11-30,Kotesh,Cronau,9999-01-01
59192,Engineer,1954-09-23,Luisa,Schusler,9999-01-01
59197,Engineer,1955-09-18,Wilmer,Granlund,9999-01-01
59203,Technique Leader,1952-11-07,Youngkon,Bernini,9999-01-01
59206,Senior Engineer,1953-12-15,Shan,Wroclawski,9999-01-01
59210,Technique Leader,1955-04-13,Florian,Carrera,9999-01-01
59211,Engineer,1954-04-15,Lenore,Businaro,9999-01-01
59212,Senior Staff,1953-03-09,Koldo,Jeong,9999-01-01
59219,Technique Leader,1953-01-17,Shounak,Peroz,9999-01-01
59224,Engineer,1955-07-08,Bartek,Rusterholz,9999-01-01
59227,Senior Engineer,1954-08-03,Adly,Ruemmler,9999-01-01
59230,Senior Staff,1954-06-25,Oscar,Krichel,9999-01-01
59236,Senior Engineer,1952-03-26,Siamak,Yurek,9999-01-01
59237,Staff,1952-09-06,Gen,Lundstrom,9999-01-01
59238,Staff,1952-11-01,Moni,Braunschweig,9999-01-01
59242,Senior Staff,1953-12-16,Fun,Peak,9999-01-01
59245,Senior Staff,1955-08-12,Nahla,Greibach,9999-01-01
59248,Engineer,1953-09-25,Zhanqiu,Krzyzanowski,9999-01-01
59250,Technique Leader,1955-03-24,Toong,Arlazarov,9999-01-01
59256,Senior Engineer,1954-06-21,Tsvetan,Emiris,9999-01-01
59268,Staff,1954-06-10,Berry,Besancenot,9999-01-01
59279,Staff,1955-11-23,Genevieve,Jeong,9999-01-01
59283,Senior Engineer,1952-09-05,Stevo,Bisiani,9999-01-01
59289,Staff,1954-07-18,Yucel,Sridhar,9999-01-01
59294,Engineer,1955-08-28,Shietung,Mitchem,9999-01-01
59295,Senior Staff,1953-02-09,Subbu,Ducloy,9999-01-01
59299,Assistant Engineer,1953-05-03,Toney,Isaak,9999-01-01
59309,Senior Staff,1952-09-12,Dannz,Sury,9999-01-01
59311,Engineer,1954-01-14,Renee,Shiratori,9999-01-01
59312,Senior Staff,1953-01-27,Divier,Verhoeff,9999-01-01
59313,Senior Engineer,1955-11-18,Jacqueline,Bisiani,9999-01-01
59315,Senior Staff,1953-09-30,Tadanori,Schahn,9999-01-01
59317,Senior Staff,1955-04-11,Shirish,Taneja,9999-01-01
59319,Staff,1954-06-26,Sarita,Gils,9999-01-01
59322,Senior Engineer,1955-07-02,Beshir,Cools,9999-01-01
59323,Senior Engineer,1952-02-15,Hein,Marciano,9999-01-01
59331,Engineer,1953-07-05,Izaskun,Broder,9999-01-01
59333,Senior Staff,1955-09-23,Fay,Ratnaker,9999-01-01
59342,Senior Staff,1955-06-27,Babette,Colorni,9999-01-01
59346,Senior Staff,1954-07-01,Armond,Monkewich,9999-01-01
59348,Engineer,1955-08-12,Jackson,Heemskerk,9999-01-01
59349,Senior Engineer,1955-12-05,Martijn,Bail,9999-01-01
59351,Engineer,1953-10-08,Yannik,Ghemri,9999-01-01
59355,Senior Staff,1953-10-20,Shigeaki,Kinley,9999-01-01
59356,Engineer,1954-08-02,Lorien,Belinskaya,9999-01-01
59358,Technique Leader,1952-11-22,Arvind,Passino,9999-01-01
59368,Senior Engineer,1952-07-15,Younwoo,Baar,9999-01-01
59374,Senior Staff,1954-12-14,Zhaofang,Bardell,9999-01-01
59379,Engineer,1955-09-11,Zsolt,Rajala,9999-01-01
59380,Senior Staff,1955-12-11,Zvonko,Berendt,9999-01-01
59391,Senior Engineer,1952-03-26,Qunsheng,Plessier,9999-01-01
59393,Senior Staff,1955-01-07,Rajmohan,Zaccaria,9999-01-01
59395,Engineer,1952-06-10,Richard,Karunanithi,9999-01-01
59397,Engineer,1952-11-19,Elrique,Chachaty,9999-01-01
59400,Senior Staff,1952-10-27,Chinya,Giaccio,9999-01-01
59403,Senior Engineer,1955-06-04,Spyrose,Fabrizio,9999-01-01
59409,Senior Engineer,1954-11-15,Mechthild,Reeken,9999-01-01
59413,Senior Staff,1953-09-22,Huei,Albarhamtoshy,9999-01-01
59414,Senior Staff,1952-06-05,Yuping,Kolvik,9999-01-01
59433,Staff,1954-10-27,Barna,Koshiba,9999-01-01
59434,Senior Staff,1955-10-19,Saddek,Smailagic,9999-01-01
59435,Senior Engineer,1954-05-22,Serge,Baig,9999-01-01
59450,Senior Engineer,1953-02-22,Goncalo,Highland,9999-01-01
59456,Technique Leader,1954-08-12,Kazuhiko,Shumilov,9999-01-01
59462,Staff,1952-04-07,Lech,Bale,9999-01-01
59463,Senior Engineer,1953-12-26,Wuxu,Nergos,9999-01-01
59464,Senior Staff,1954-03-14,Selwyn,Koyama,9999-01-01
59466,Senior Staff,1955-07-14,Gila,Kornatzky,9999-01-01
59468,Senior Staff,1952-03-03,Kendra,Narlikar,9999-01-01
59470,Senior Staff,1952-08-13,Ziyad,Ghelli,9999-01-01
59471,Senior Staff,1953-12-08,Katsuo,Hiyoshi,9999-01-01
59475,Senior Engineer,1955-12-09,Palash,Dahlbom,9999-01-01
59480,Staff,1954-02-08,Giordano,Esteva,9999-01-01
59485,Senior Staff,1953-12-21,Ravishankar,Birrer,9999-01-01
59488,Senior Engineer,1952-06-11,Saeko,Montresor,9999-01-01
59490,Senior Engineer,1954-05-29,Vasilis,Anido,9999-01-01
59494,Engineer,1955-04-07,Ayakannu,Demos,9999-01-01
59496,Senior Engineer,1953-06-09,Valery,Hebden,9999-01-01
59499,Senior Staff,1952-12-16,Lijie,Furedi,9999-01-01
59505,Engineer,1953-11-29,Franziska,Pagter,9999-01-01
59507,Senior Staff,1954-03-09,Falguni,Bala,9999-01-01
59509,Senior Engineer,1952-11-03,Vishwani,Schueller,9999-01-01
59510,Senior Staff,1955-02-15,Shuichi,Bouloucos,9999-01-01
59513,Senior Engineer,1955-06-11,Xiaoheng,Rosaz,9999-01-01
59514,Senior Staff,1954-03-21,Palash,Camarinopoulos,9999-01-01
59520,Technique Leader,1953-10-04,Babette,Montresor,9999-01-01
59530,Senior Staff,1955-01-16,Zhonghui,Ranon,9999-01-01
59537,Senior Engineer,1954-01-31,Yefim,Pargaonkar,9999-01-01
59538,Senior Engineer,1953-08-21,Constantijn,Stiles,9999-01-01
59539,Senior Staff,1955-03-09,Kwun,Slutz,9999-01-01
59540,Staff,1955-05-24,Bader,Whitcomb,9999-01-01
59543,Senior Staff,1953-05-09,Behnaam,Molenaar,9999-01-01
59553,Senior Staff,1954-01-30,Aruna,Hockney,9999-01-01
59555,Staff,1953-02-25,Augustine,Peot,9999-01-01
59560,Senior Staff,1953-09-21,Shuho,Roisin,9999-01-01
59566,Engineer,1952-04-03,Vugranam,Krybus,9999-01-01
59567,Senior Staff,1953-10-21,Richard,Huttel,9999-01-01
59569,Engineer,1954-03-12,Kazuyasu,Heyers,9999-01-01
59578,Senior Staff,1954-02-24,Pramod,Schade,9999-01-01
59581,Senior Engineer,1954-09-07,Mani,Swab,9999-01-01
59586,Senior Staff,1953-06-02,Vidar,Luiz,9999-01-01
59593,Senior Staff,1954-02-19,Xiaoqiu,Steenbeek,9999-01-01
59602,Senior Engineer,1952-06-19,Toshimo,Stamatiou,9999-01-01
59606,Staff,1954-10-31,Ashish,Rodier,9999-01-01
59611,Senior Staff,1954-01-13,Wanqing,Fraisse,9999-01-01
59612,Staff,1955-09-28,Francoise,Aumann,9999-01-01
59622,Senior Staff,1953-07-05,Caolyn,Thimonier,9999-01-01
59627,Senior Staff,1954-08-31,Tianruo,Rabejac,9999-01-01
59639,Senior Engineer,1955-09-21,Taizo,Clouatre,9999-01-01
59641,Engineer,1954-03-16,Zhiwei,Guerreiro,9999-01-01
59649,Senior Staff,1954-08-28,Henk,Kavanagh,9999-01-01
59650,Senior Staff,1954-01-10,Shirish,Servi,9999-01-01
59659,Senior Staff,1953-01-11,Leandro,Munke,9999-01-01
59665,Senior Engineer,1953-05-04,Mamdouh,Soloway,9999-01-01
59676,Senior Staff,1954-01-24,Zhiwei,Kolvik,9999-01-01
59684,Senior Engineer,1952-06-07,Qingxiang,Ranst,9999-01-01
59685,Technique Leader,1955-08-07,Yongdong,Schurmann,9999-01-01
59688,Senior Engineer,1952-10-22,Woody,Scharstein,9999-01-01
59692,Senior Staff,1954-11-21,Remzi,Kabayashi,9999-01-01
59699,Senior Staff,1953-01-28,Mahmut,Benveniste,9999-01-01
59700,Senior Staff,1953-09-03,Arno,Leijenhorst,9999-01-01
59704,Senior Engineer,1953-07-02,Toong,Makrucki,9999-01-01
59707,Senior Staff,1952-04-01,Bezalel,Tyugu,9999-01-01
59709,Senior Engineer,1954-02-10,Syozo,Ratzlaff,9999-01-01
59710,Senior Staff,1955-05-03,Gennadi,Marchesini,9999-01-01
59723,Staff,1952-08-11,Josyula,Gluchowski,9999-01-01
59734,Senior Engineer,1952-02-25,Adas,Ulupinar,9999-01-01
59743,Senior Engineer,1954-07-15,Zhenhua,Bakhtari,9999-01-01
59751,Technique Leader,1953-07-15,Alois,Gerlach,9999-01-01
59756,Staff,1955-10-13,Rimon,Colorni,9999-01-01
59764,Senior Engineer,1952-03-07,Jeane,Wroclawski,9999-01-01
59766,Senior Staff,1955-06-05,Ziyad,Nitsch,9999-01-01
59767,Senior Staff,1953-04-27,Kazuhisa,Pell,9999-01-01
59770,Staff,1955-05-23,Hatsukazu,Katalagarianos,9999-01-01
59772,Senior Engineer,1952-06-23,Goetz,Pollacia,9999-01-01
59783,Senior Staff,1955-03-16,Volkmar,Raczkowsky,9999-01-01
59790,Senior Engineer,1955-09-20,Vishv,Heering,9999-01-01
59793,Senior Staff,1952-05-07,Jayson,Tibblin,9999-01-01
59799,Engineer,1953-03-01,Ekawit,Jording,9999-01-01
59804,Technique Leader,1952-09-07,Xuejia,Siepmann,9999-01-01
59805,Staff,1953-12-02,Arco,Yoshimura,9999-01-01
59807,Senior Staff,1952-02-24,Geraldo,Templeman,9999-01-01
59824,Assistant Engineer,1952-11-04,Xiaoshan,Marwedel,9999-01-01
59825,Senior Engineer,1954-09-12,Anneli,Constantine,9999-01-01
59826,Senior Staff,1952-08-22,Martien,Frolund,9999-01-01
59836,Senior Engineer,1953-01-24,Stella,Stifter,9999-01-01
59841,Senior Engineer,1953-02-12,Pranav,Deverell,9999-01-01
59854,Technique Leader,1953-05-19,Dekang,Cherinka,9999-01-01
59859,Senior Engineer,1953-06-18,Shunichi,Henseler,9999-01-01
59860,Senior Staff,1954-08-31,Jiang,Parfitt,9999-01-01
59864,Senior Staff,1953-02-22,Garnik,Wynblatt,9999-01-01
59867,Engineer,1954-04-02,Insup,Uchoa,9999-01-01
59878,Senior Engineer,1953-03-22,Hitofumi,Gist,9999-01-01
59879,Senior Engineer,1954-05-08,Amstein,Gronowski,9999-01-01
59883,Senior Engineer,1952-05-25,Sanjiv,Serov,9999-01-01
59884,Senior Staff,1952-02-02,Fan,Przulj,9999-01-01
59885,Staff,1952-02-25,Radhika,Danlos,9999-01-01
59891,Senior Engineer,1955-05-30,Guttorm,Linnainmaa,9999-01-01
59898,Senior Engineer,1954-03-28,Gao,Iwayama,9999-01-01
